,1940,1950,1960,1970,1980,1990,2000,2010
mn0000232655,,,,4.876256258614873e-05,3.078586874660647e-05,1.7207217217949824e-05,1.0744059408030193e-05,9.451615888813151e-06
mn0000175553,0.0011967004362891196,0.0014184760734059108,0.002478816802342306,0.0030192258345023543,0.002679674751177499,0.002351825308965669,0.0020996668653493057,0.0020406998063646803
mn0000842398,,0.00022834756919897777,0.00011151935065396425,7.78528818535574e-05,4.916259422933642e-05,2.979598803242618e-05,1.894089923874107e-05,1.666290768814427e-05
mn0000250435,,0.0001602216744534919,0.0001209093860478037,0.00016984508977793602,0.00014177683247784746,0.00010855324213380521,9.380898925139271e-05,8.769379869701963e-05
mn0000139804,,0.0001602216744534919,8.427063570268673e-05,0.00012298805728789853,9.826403152597818e-05,9.640313947283575e-05,7.001400868552232e-05,6.31597736219726e-05
mn0000039656,0.0010400652025130725,0.0009550816246647571,0.0011200955110871873,0.0010607043744310068,0.0008255752441703341,0.0006470286007818045,0.0004824374110712618,0.0004463761076843597
mn0001549991,,,,,,,1.0744059408030193e-05,9.451615888813151e-06
mn0000933172,,0.00024959705160981365,0.00018565904236958166,0.00016216994029250644,0.00011936857950490617,8.70428353379493e-05,7.440971908835169e-05,7.416024118346398e-05
mn0000577853,,,,,3.4067426868522535e-05,1.9190750038039727e-05,1.261034658300575e-05,1.1093504791873387e-05
mn0000200074,,,,,5.905775410465254e-05,4.214423277373859e-05,4.6848812726361426e-05,4.6907865103808946e-05
mn0000083174,,,,,,1.7207217217949824e-05,1.1314230146536754e-05,9.953238223015053e-06
mn0000335431,,,,,,1.7207217217949824e-05,1.2834685449220918e-05,1.1290897780886792e-05
mn0000071970,,,0.0001226206789674477,0.0001755078732353087,0.00016932275344537848,0.00020605735462145652,0.00022349359821752484,0.00022449910138945767
mn0000795979,,,,,,,1.1314230146536754e-05,9.953238223015053e-06
mn0000119111,0.0010221898973692164,0.000845839888638305,0.0004971870360008548,0.00034430610349199135,0.00023845195393640297,0.00017066766447712772,0.00011483525385542012,0.00010167092359337208
mn0000677857,,,,,,1.9036401154978643e-05,1.4674146551095663e-05,1.5200030004673977e-05
mn0000098893,,,,,,,1.1314230146536754e-05,9.953238223015053e-06
mn0000570517,,,7.821536571351394e-05,4.876256258614873e-05,3.078586874660647e-05,1.7207217217949824e-05,1.1314230146536754e-05,9.953238223015053e-06
mn0000614598,,,,,,2.1126897083011578e-05,1.7771124833361323e-05,1.6813278618990672e-05
mn0000380235,,,,,3.078586874660647e-05,1.8670564367572877e-05,1.2226503328147252e-05,1.0755833957738095e-05
mn0000258955,,,,,,1.995881014886497e-05,2.798085084603291e-05,2.8291832021588905e-05
mn0000409908,,,,,,1.7207217217949824e-05,1.1314230146536754e-05,9.953238223015053e-06
mn0000891497,,,,5.120712723046879e-05,4.2502961570153824e-05,2.5937871899465793e-05,1.8824291057108144e-05,1.6785469145243344e-05
mn0001470879,,,,4.876256258614873e-05,3.078586874660647e-05,1.7207217217949824e-05,1.0744059408030193e-05,9.451615888813151e-06
mn0000084053,,,,0.0003238119079115848,0.0003867031724987949,0.0003892705254511687,0.0004639314176689376,0.0004334763072916189
mn0000998478,,,,,,,1.0744059408030193e-05,9.451615888813151e-06
mn0000184811,,,,,6.0839922772348365e-05,5.553865829987661e-05,7.088782527094711e-05,6.654006673155612e-05
mn0000667669,,,,,,5.8925906246420676e-05,0.0003271941326921674,0.0003778382479803438
mn0000260212,,,,,4.583361421103688e-05,0.00011642493047516589,0.0001545274557374824,0.00015301993509323964
mn0000239921,,,,,0.0001839655569661313,0.0002716550318372117,0.00038310836834053386,0.0004168442942411007
