,1940,1950,1960,1970,1980,1990,2000,2010
mn0000795288,0.0,0.0002588661661920787,0.0002234512038433607,0.00034620045006058506,0.00024777565041108235,0.00019267557561828216,0.0001419674799825853,0.00013906634333741842
mn0001528006,0.0006709158000670916,0.0014237639140564327,0.0008938048153734428,0.0006924009001211701,0.0005406014190787251,0.00035782606900538116,0.00025554146396865356,0.00025205774729907085
mn0001488589,,,,,,,9.464498665505687e-06,8.691646458588651e-06
mn0002064809,,,,,,0.0,0.0,0.0
mn0000174100,,,,,2.2525059128280213e-05,5.505016446236633e-05,6.625149065853981e-05,7.822481812729786e-05
mn0000861351,,,,,,,4.7322493327528444e-05,5.21498787515319e-05
mn0000963005,,,,,0.0,1.3762541115591582e-05,4.7322493327528444e-05,6.0841525210120555e-05
mn0000072003,,,,,0.0006081765964635657,0.0009771404192070025,0.000728766397243938,0.0006692567773113261
mn0000129775,,,0.0005027652086475615,0.0011078414401938723,0.0019596801441603786,0.0017478427216801311,0.001334494311836302,0.0012602887364953543
mn0000382455,,,,,,0.0005780267268548465,0.0005584054212648356,0.0005388820804324964
mn0000315463,,,,,6.757517738484064e-05,0.0007018895968951707,0.0006435859092543867,0.0006084152521012055
mn0000029086,,,,,,0.0003165384456586064,0.0005584054212648356,0.0005823403127254396
mn0000805274,,,,,0.00011262529564140106,0.0009633778780914109,0.0009748433625470859,0.0009647727569033402
mn0000386234,,,,,,4.128762334677475e-05,5.678699199303413e-05,5.21498787515319e-05
mn0000856640,,,,,,9.633778780914108e-05,8.518048798955119e-05,7.822481812729786e-05
mn0000077283,,,,,0.00015767541389796147,0.001348729029327975,0.0010789528478676485,0.0009995393427376948
mn0000314793,,,,,0.0005631264782070053,0.002408444695228527,0.0020159382157527114,0.0018600123421379712
mn0000361393,,,,0.00010386013501817553,0.0011037278972857304,0.0017065550983333562,0.002120047701073274,0.002268519725691638
mn0000086065,,,,,0.0002027255321545219,0.0009220902547446361,0.0007760888905714665,0.000721406656062858
