,1940,1950,1960,1970,1980,1990,2000,2010
mn0000180228,,0.03880597014925373,0.07717569786535304,0.11653116531165311,0.13493975903614458,0.13478260869565217,0.1345962113659023,0.14299706170421156
mn0000099561,,,-0.007194244604316547,-0.0033076074972436605,0.0008038585209003215,0.005834305717619603,0.010787992495309569,0.012211668928086838
mn0000840402,,,-0.024,0.025374855824682813,0.056818181818181816,0.08698334361505243,0.11210317460317461,0.12009569377990431
mn0000489303,,,0.004694835680751174,0.005199306759098787,0.014903129657228018,0.014211886304909561,0.026634382566585957,0.026474127557160047
mn0000824022,,0.12413793103448276,0.23954372623574144,0.26621160409556316,0.2703583061889251,0.25846153846153846,0.25297619047619047,0.25297619047619047
mn0000925188,,,,,,0.002932551319648094,0.016597510373443983,0.03441682600382409
mn0000292019,,,,,,,,
mn0000087083,,,,,-0.009554140127388535,-0.0017211703958691911,-0.002512562814070352,-0.0011560693641618498
mn0000283139,,,,,,,,
mn0000617196,,,,-0.019736842105263157,-0.01306076093128904,0.001960015680125441,0.01937865272223931,0.022176831047563468
mn0001680388,,,,,,,,
mn0001400354,,,,,,,,
mn0000543084,,,,,,,,
mn0000762885,,,,,,,0.012027491408934709,0.01278409090909091
mn0000932665,,,,,,-0.0016420361247947454,0.008093525179856115,0.008935824532900082
mn0000616296,,,,,,,-0.025210084033613446,-0.01764705882352941
mn0000098580,,,,,,,,
mn0000493848,,,,,,-0.004021447721179625,0.014218009478672985,0.025064822817631807
mn0003624307,,,,,,,,
mn0000005307,,,,,,-0.001890359168241966,-0.0010526315789473684,0.0017467248908296944
mn0000232655,,,,,,,,
mn0000175553,-0.03317535545023697,-0.07294117647058823,-0.11644832605531295,-0.14318706697459585,-0.1359918200408998,-0.12373737373737374,-0.11733535200605602,-0.11152141802067947
mn0000842398,,0.0058823529411764705,0.004098360655737705,0.0,0.0,-0.0028653295128939827,0.0,0.0
mn0000250435,,,-0.014583333333333334,-0.022900763358778626,-0.02513227513227513,-0.02676659528907923,-0.030798845043310877,-0.03125
mn0000139804,,,-0.0029585798816568047,-0.01762114537444934,-0.015444015444015444,-0.006600660066006601,-0.009244992295839754,-0.009146341463414634
mn0000039656,-0.040983606557377046,-0.08823529411764706,-0.10576923076923077,-0.09702970297029703,-0.09498207885304659,-0.08626198083067092,-0.08597285067873303,-0.08558558558558559
mn0001549991,,,,,,,,
mn0000933172,,-0.013043478260869565,-0.011655011655011656,-0.009784735812133072,-0.009208103130755065,-0.008375209380234505,-0.004672897196261682,-0.0030441400304414
mn0000577853,,,,,,,,
mn0000200074,,,,,0.0,-0.000724112961622013,0.0008264462809917355,0.0005193456245131135
mn0000083174,,,,,,,-0.00423728813559322,-0.004201680672268907
mn0000335431,,,,,,,0.0,0.0
mn0000071970,,,0.003937007874015748,0.019817073170731708,0.022099447513812154,0.030660377358490566,0.04021739130434782,0.0405982905982906
mn0000795979,,,,,,,,
mn0000119111,0.018518518518518517,0.021645021645021644,0.01,0.008670520231213872,0.01084010840108401,0.015189873417721518,0.0170316301703163,0.01699029126213592
mn0000677857,,,,,,,,
mn0000098893,,,,,,,,
mn0000570517,,,,,,,,
mn0000614598,,,,,,-0.003937007874015748,-0.0030816640986132513,-0.0029542097488921715
mn0000380235,,,,,,-0.004032258064516129,-0.007326007326007326,-0.007246376811594203
mn0000258955,,,,,,-0.0055248618784530384,-0.017985611510791366,-0.01607717041800643
mn0000409908,,,,,,,0.001366120218579235,0.0013333333333333333
mn0000891497,,,,-0.0049261083743842365,0.008968609865470852,0.004032258064516129,0.0035971223021582736,0.0034965034965034965
mn0001470879,,,,,,,,
mn0000084053,,,,-0.007376185458377239,-0.01692420897718911,-0.023441662226957913,-0.010683760683760684,-0.009547530095475302
mn0000998478,,,,,,,,
mn0000184811,,,,,0.0,-0.0025252525252525255,-0.012315270935960592,-0.012066365007541479
mn0000667669,,,,,,0.008183306055646482,0.0866738894907909,0.10515873015873016
mn0000260212,,,,,-0.006147540983606557,-0.009720534629404616,-0.01614142966948501,-0.01603905160390516
mn0000239921,,,,,-0.004654255319148936,-0.0025684931506849314,0.004606879606879607,0.0071653768988248785
mn0000128440,,,,,-0.008206330597889801,-0.00830188679245283,-0.0032485110990795887,-0.0005045408678102926
mn0000661524,,,,-0.015384615384615385,0.025510204081632654,0.018726591760299626,0.03206997084548105,0.030054644808743168
mn0000361393,,,,-0.0015600624024961,-0.004703668861712135,-0.008832807570977918,0.003811338732729871,0.011889035667107
mn0000776093,,,,,-0.015037593984962405,-0.027491408934707903,-0.02490421455938697,-0.017513134851138354
mn0000237205,,,,,0.00529500756429652,0.012382367508667657,0.012026239067055394,0.0126193724420191
mn0000366164,,,,0.0,-0.007380073800738007,-0.0050568900126422255,-0.0010152284263959391,0.0009541984732824427
mn0000193705,,,,,,,,
mn0000752314,,,,,-0.0031446540880503146,-0.01971014492753623,-0.017074981440237565,-0.015311330384484519
mn0000346336,,,-0.030065359477124184,-0.03115264797507788,-0.014557670772676373,-0.002010454362685967,0.01042654028436019,0.014889091461561836
mn0000413524,,,,-0.0027958993476234857,-0.005360333531864205,-0.005747126436781609,0.0006295247088448222,0.0005988023952095808
mn0000275715,,,,,,,,
mn0000266160,-0.05555555555555555,-0.10185185185185185,-0.13432835820895522,-0.1276595744680851,-0.10344827586206896,-0.10069444444444445,-0.09037900874635568,-0.0903954802259887
mn0000333634,,,-0.02536997885835095,-0.026200873362445413,-0.02422145328719723,-0.018433179723502304,-0.01344286781179985,-0.012884753042233358
mn0000075747,,,,-0.055384615384615386,-0.06186953597848016,-0.03900536323744515,-0.011597456041900486,-0.009705248023005032
mn0000128495,,,,,,-0.0015723270440251573,0.0003853564547206166,0.0
mn0000577531,0.0,0.0297029702970297,0.1895424836601307,0.24157303370786518,0.26903553299492383,0.26851851851851855,0.3230769230769231,0.3358208955223881
mn0000988257,,,,,,,,
